year,Topic,rate,rank,Rubric
1999,topic_0,20.090640681,3.0,bivs-SSR
2000,topic_0,60.2933730079,6.0,bivs-SSR
2001,topic_0,50.91068358919998,8.0,bivs-SSR
2002,topic_0,54.131137519620005,9.0,bivs-SSR
2003,topic_0,42.35902708617002,11.0,bivs-SSR
2004,topic_0,76.84808525585007,11.0,bivs-SSR
2005,topic_0,252.1235776018399,3.0,bivs-SSR
2006,topic_0,277.47813071851976,4.0,bivs-SSR
2007,topic_0,259.43239991948644,2.0,bivs-SSR
2008,topic_0,245.8923228487403,6.0,bivs-SSR
2009,topic_0,379.8144337137,2.0,bivs-SSR
2010,topic_0,267.4608208930798,6.0,bivs-SSR
2011,topic_0,189.84897345080702,5.0,bivs-SSR
2012,topic_0,253.78538218892015,3.0,bivs-SSR
2013,topic_0,252.3497108594601,5.0,bivs-SSR
2014,topic_0,318.86256466384975,8.0,bivs-SSR
2015,topic_0,277.0537697299204,6.0,bivs-SSR
2016,topic_0,302.3501466421598,8.0,bivs-SSR
2017,topic_0,228.3219045433913,7.0,bivs-SSR
2018,topic_0,86.28903685085001,8.0,bivs-SSR
1999,topic_1,5.835523622099998,16.0,bivs-SSR
2000,topic_1,28.309424492690006,13.0,bivs-SSR
2001,topic_1,40.37935768806999,14.0,bivs-SSR
2002,topic_1,44.85270544305,12.0,bivs-SSR
2003,topic_1,46.489129570789956,10.0,bivs-SSR
2004,topic_1,92.01228242820001,9.0,bivs-SSR
2005,topic_1,125.19735599890002,12.0,bivs-SSR
2006,topic_1,135.12547494648987,14.0,bivs-SSR
2007,topic_1,180.32890173938,11.0,bivs-SSR
2008,topic_1,153.28852914840994,14.0,bivs-SSR
2009,topic_1,214.7964439276203,8.0,bivs-SSR
2010,topic_1,220.23002179147954,7.0,bivs-SSR
2011,topic_1,216.10465590570038,4.0,bivs-SSR
2012,topic_1,139.85930492885095,15.0,bivs-SSR
2013,topic_1,260.63557698201976,4.0,bivs-SSR
2014,topic_1,648.4227343010834,2.0,bivs-SSR
2015,topic_1,198.58008973541016,10.0,bivs-SSR
2016,topic_1,289.61725197658586,9.0,bivs-SSR
2017,topic_1,227.50533898604,8.0,bivs-SSR
2018,topic_1,69.62231791473995,10.0,bivs-SSR
1999,topic_2,0.618771477,20.0,bivs-SSR
2000,topic_2,2.7598916761,20.0,bivs-SSR
2001,topic_2,3.4899405978999996,20.0,bivs-SSR
2002,topic_2,3.09297463626,20.0,bivs-SSR
2003,topic_2,1.8729346216400002,20.0,bivs-SSR
2004,topic_2,10.584617865099997,20.0,bivs-SSR
2005,topic_2,9.767430802121,20.0,bivs-SSR
2006,topic_2,11.870028977809994,20.0,bivs-SSR
2007,topic_2,9.527439206086,20.0,bivs-SSR
2008,topic_2,25.08955224837,20.0,bivs-SSR
2009,topic_2,9.424701803200001,20.0,bivs-SSR
2010,topic_2,12.767895254770012,20.0,bivs-SSR
2011,topic_2,7.249089305070003,20.0,bivs-SSR
2012,topic_2,9.816061909599995,20.0,bivs-SSR
2013,topic_2,5.904733397449998,20.0,bivs-SSR
2014,topic_2,780.7986146095194,1.0,bivs-SSR
2015,topic_2,755.1276737143409,1.0,bivs-SSR
2016,topic_2,535.3944936858309,1.0,bivs-SSR
2017,topic_2,526.8229621586004,1.0,bivs-SSR
2018,topic_2,107.62230441696997,4.0,bivs-SSR
1999,topic_3,20.3907518603,2.0,bivs-SSR
2000,topic_3,59.46241484019999,7.0,bivs-SSR
2001,topic_3,65.93212380862002,5.0,bivs-SSR
2002,topic_3,119.02483241497004,3.0,bivs-SSR
2003,topic_3,93.09106439112007,3.0,bivs-SSR
2004,topic_3,172.40521493719973,3.0,bivs-SSR
2005,topic_3,487.8120403688897,1.0,bivs-SSR
2006,topic_3,443.96726814113026,1.0,bivs-SSR
2007,topic_3,218.54244280144988,7.0,bivs-SSR
2008,topic_3,329.39289585051006,3.0,bivs-SSR
2009,topic_3,257.2832896212081,5.0,bivs-SSR
2010,topic_3,185.9252363120036,9.0,bivs-SSR
2011,topic_3,133.33876969491,14.0,bivs-SSR
2012,topic_3,166.80612752960016,10.0,bivs-SSR
2013,topic_3,181.0680336483981,8.0,bivs-SSR
2014,topic_3,405.60542140606987,5.0,bivs-SSR
2015,topic_3,333.9353221015063,3.0,bivs-SSR
2016,topic_3,468.4531801062148,2.0,bivs-SSR
2017,topic_3,456.78838390362665,2.0,bivs-SSR
2018,topic_3,152.4421421031799,2.0,bivs-SSR
1999,topic_4,11.659821547600002,8.0,bivs-SSR
2000,topic_4,29.113192773199998,11.0,bivs-SSR
2001,topic_4,37.5299327147,15.0,bivs-SSR
2002,topic_4,38.71888642130002,15.0,bivs-SSR
2003,topic_4,92.43017555189998,4.0,bivs-SSR
2004,topic_4,334.8437938679196,1.0,bivs-SSR
2005,topic_4,202.94421962703987,6.0,bivs-SSR
2006,topic_4,169.78236490420977,10.0,bivs-SSR
2007,topic_4,240.3325729356131,4.0,bivs-SSR
2008,topic_4,185.40535696,9.0,bivs-SSR
2009,topic_4,205.3086115425398,12.0,bivs-SSR
2010,topic_4,268.45805116987975,5.0,bivs-SSR
2011,topic_4,185.75854251798998,6.0,bivs-SSR
2012,topic_4,218.27451956637998,6.0,bivs-SSR
2013,topic_4,123.33774198049002,15.0,bivs-SSR
2014,topic_4,153.18851692867992,15.0,bivs-SSR
